Gene,Cross_pipeline_rho,Cross_pipeline_P,Xena_RBM3_gene_rho,GDC_RBM3_gene_rho,Delta_GDC_minus_Xena
RAB5A,0.7014647,3.122301e-56,-0.058378525,0.3799002,0.43827875
CDC42,0.7345956,3.928376e-64,0.126095094,0.4630213,0.33692622
CTBP1,0.7453213,5.977273e-67,0.050655335,0.4180606,0.36740528
RAC1,0.7462338,3.39052e-67,0.37325317,0.597912,0.22465888
ARF1,0.7529406,4.868335e-69,0.234529863,0.4880097,0.25347988
SNX5,0.7660465,8.116251e-73,0.135106466,0.5072515,0.37214508
RHOG,0.796994,8.226968e-83,0.317735425,0.5099154,0.19217996
ARF6,0.8121643,2.277197e-88,0.118712338,0.4548669,0.33615457
SDC1,0.8555048,1.620617e-107,-0.322806318,-0.2310523,0.09175402
SLC9A1,0.9043846,1.526433e-138,0.242725543,0.480808,0.2380825
PAK1,0.925514,1.11742e-157,0.270526417,0.5297008,0.25917441
DOCK1,0.9327502,1.434007e-165,-0.007054275,0.3451932,0.35224752
PLD1,0.9455099,6.601867e-182,0.104735529,0.3231531,0.21841759
SLC4A7,0.9660556,5.34906e-219,0.182572126,0.4409853,0.2584132
